Model,Accuracy,Precision,Recall,Specificity,F1-score
XGBoost,0.762055636524935,0.7629290617848971,0.7984672494312058,0.7211305518169583,0.780293721841905
LDA (Linear Discriminant Analysis),0.7389265572523921,0.7117829612573832,0.8513950425098791,0.6125168236877524,0.7753544165757906
Random Forest,0.7571129839680628,0.7607942738397598,0.7891270506526165,0.7211305518169583,0.7747016987009934
Linear SVM (LinearSVC),0.7183955389392307,0.6947074653642978,0.834630583163693,0.5877523553162853,0.7582680591818973
Ridge Classifier,0.7111716621253406,0.6841440916593844,0.8437312896659083,0.5621803499327053,0.7556032171581769
SVM (Linear Kernel),0.6971041125403967,0.6670408831509028,0.8537899652736199,0.5209959623149394,0.7489495798319328
Logistic Regression,0.6920980926430518,0.6724614776768076,0.8152317087773919,0.5537012113055182,0.7369959404600812
Naive Bayes,0.6221405487611685,0.5863715277777778,0.9706621961441744,0.23041722745625842,0.7310935738444194
Decision Tree,0.6701729928394905,0.6889262551044919,0.6868638486408813,0.6514131897711979,0.6878935060262638
KNN,0.6128255497116786,0.6230642504118616,0.6793198419350976,0.5380888290713325,0.6499770852428964
